pca,k,vot_pes,alpha,epsilon,acc,std
1,8,1,35,1e-6,0.9546666666666667,0.0023611077764415568
1,7,0,35,1e-6,0.9722142857142858,0.002290669232534399
1,7,1,35,1e-6,0.9576904761904761,0.0017747281098651816
1,6,0,35,1e-6,0.9724761904761905,0.0027265803422624165
1,6,1,35,1e-6,0.9599285714285715,0.001140871290543919
1,5,0,35,1e-6,0.9727142857142856,0.002446015780259606
1,5,1,35,1e-6,0.9638095238095239,0.0007022800573215638
1,4,0,35,1e-6,0.972547619047619,0.00201271468622936
1,4,1,35,1e-6,0.9661190476190475,0.0012835078068517871
1,3,0,35,1e-6,0.9733571428571428,0.0028585314086185657
1,3,1,35,1e-6,0.9687857142857143,0.0019098147266814886
1,2,0,35,1e-6,0.9673571428571428,0.0014353016069620468
1,2,1,35,1e-6,0.9717619047619047,0.001948020682769779
1,1,0,35,1e-6,0.9717619047619047,0.001948020682769779
1,1,1,35,1e-6,0.9717619047619047,0.001948020682769779
1,8,0,33,1e-6,0.9716904761904761,0.0021865907569369285
1,8,1,33,1e-6,0.9546666666666667,0.0022327697532381167
1,7,0,33,1e-6,0.9723095238095236,0.0025815497463675713
1,7,1,33,1e-6,0.956952380952381,0.002364946198445535
1,6,0,33,1e-6,0.9728095238095239,0.0028725773584486903
1,6,1,33,1e-6,0.9595476190476191,0.001943650631615088
1,5,0,33,1e-6,0.9731190476190477,0.0024471743157199253
1,5,1,33,1e-6,0.9628095238095238,0.0013010548659346936
1,4,0,33,1e-6,0.9731190476190477,0.002279256751195125
1,4,1,33,1e-6,0.9657619047619047,0.0015386185163241356
1,3,0,33,1e-6,0.9730000000000001,0.0027555345255579756
1,3,1,33,1e-6,0.9686428571428571,0.002203635421365069
1,2,0,33,1e-6,0.9673095238095237,0.0009116280818607916
1,2,1,33,1e-6,0.9715952380952381,0.002328712625965481
1,1,0,33,1e-6,0.9715952380952381,0.002328712625965481
1,1,1,33,1e-6,0.9715952380952381,0.002328712625965481
1,8,0,31,1e-6,0.9713571428571429,0.002108991655978923
1,8,1,31,1e-6,0.9540238095238095,0.002168366680005226
1,7,0,31,1e-6,0.9714047619047619,0.002326033284156136
1,7,1,31,1e-6,0.9561666666666667,0.0025703260422987035
1,6,0,31,1e-6,0.9723809523809525,0.0027126143559287872
1,6,1,31,1e-6,0.9595238095238094,0.0018898223650461448
1,5,0,31,1e-6,0.972452380952381,0.002495574313953105
1,5,1,31,1e-6,0.9620000000000001,0.002112751481093249
1,4,0,31,1e-6,0.972642857142857,0.002364706479606712
1,4,1,31,1e-6,0.9655714285714285,0.0015271540676975752
1,3,0,31,1e-6,0.9726666666666667,0.0027505925974575336
1,3,1,31,1e-6,0.9681428571428571,0.002284473869773491
1,2,0,31,1e-6,0.9673571428571428,0.0016450985400118577
1,2,1,31,1e-6,0.9710714285714286,0.002472066162365211
1,1,0,31,1e-6,0.9710714285714286,0.002472066162365211
1,1,1,31,1e-6,0.9710714285714286,0.002472066162365211
1,8,0,29,1e-6,0.9706428571428571,0.0027340549901825892
1,8,1,29,1e-6,0.9527857142857143,0.0024841903739566754
1,7,0,29,1e-6,0.9706904761904763,0.0024227287327457424
1,7,1,29,1e-6,0.9552619047619046,0.002420387705304876
1,6,0,29,1e-6,0.9715952380952381,0.0028775067943401776
1,6,1,29,1e-6,0.9575476190476191,0.0014746535778287517
1,5,0,29,1e-6,0.9721666666666666,0.0025900997625661754
1,5,1,29,1e-6,0.9610238095238095,0.0019800593225039746
1,4,0,29,1e-6,0.9717857142857141,0.0022092877542213393
1,4,1,29,1e-6,0.9642857142857144,0.0016253379205596035
1,3,0,29,1e-6,0.9718571428571428,0.0024485638347013987
1,3,1,29,1e-6,0.9675952380952382,0.0022098008857470417
1,2,0,29,1e-6,0.9660238095238096,0.0018937179833474567
1,2,1,29,1e-6,0.970809523809524,0.0024402148524416806
1,1,0,29,1e-6,0.970809523809524,0.0024402148524416806
1,1,1,29,1e-6,0.970809523809524,0.0024402148524416806
1,8,0,27,1e-6,0.9699285714285715,0.0026743087775426447
1,8,1,27,1e-6,0.9515714285714287,0.001337154388771326
1,7,0,27,1e-6,0.9702619047619047,0.0028674417556808947
1,7,1,27,1e-6,0.9540476190476189,0.001557659736552026
1,6,0,27,1e-6,0.9709761904761904,0.002890087837722345
1,6,1,27,1e-6,0.9570714285714285,0.0015422985467334783
1,5,0,27,1e-6,0.9719285714285715,0.0031822922755435326
1,5,1,27,1e-6,0.9601666666666666,0.0020155292795303293
1,4,0,27,1e-6,0.9713095238095237,0.0022961073240459497
1,4,1,27,1e-6,0.9634285714285715,0.0012540184840250904
1,3,0,27,1e-6,0.9717619047619047,0.002227686026803056
1,3,1,27,1e-6,0.9666428571428571,0.0015800628593368561
1,2,0,27,1e-6,0.9649047619047618,0.0011746567984327666
1,2,1,27,1e-6,0.9697380952380954,0.00206663375001217
1,1,0,27,1e-6,0.9697380952380954,0.00206663375001217
1,1,1,27,1e-6,0.9697380952380954,0.00206663375001217
1,8,0,25,1e-6,0.969095238095238,0.002772148491014831
1,8,1,25,1e-6,0.9495714285714285,0.002246942997600795
1,7,0,25,1e-6,0.9696428571428571,0.002270035511724378
1,7,1,25,1e-6,0.9519047619047619,0.0023892711817718264
1,6,0,25,1e-6,0.9690714285714286,0.0024156988444401367
1,6,1,25,1e-6,0.9549999999999998,0.0022144137187783404
1,5,0,25,1e-6,0.9705,0.002425067500287853
1,5,1,25,1e-6,0.9586190476190476,0.002216460785283241
1,4,0,25,1e-6,0.9698571428571429,0.002543721985978433
1,4,1,25,1e-6,0.9615238095238094,0.001672438983698657
1,3,0,25,1e-6,0.9705714285714286,0.0026031987997326713
1,3,1,25,1e-6,0.9653333333333334,0.0024621856706276194
1,2,0,25,1e-6,0.9633571428571429,0.0014093951035189251
1,2,1,25,1e-6,0.9682142857142857,0.00258308644859341
1,1,0,25,1e-6,0.9682142857142857,0.00258308644859341
1,1,1,25,1e-6,0.9682142857142857,0.00258308644859341
