epsilon,segtot,msconv,accuracy,standard deviation
1,104,492,0.9639761904761904,0.001633340274870708
2,105,1341,0.9639285714285715,0.0011468185313135671
3,108,2910,0.9640714285714287,0.0011698208091941342
4,107,4803,0.9640238095238095,0.0012719724180184002
5,109,6738,0.9640476190476189,0.0013084411108603873
6,113,8325,0.9640476190476189,0.0013084411108603873
