ttl,ip,rttHop,rttTot,lat,lon,outlier
1,190.190.202.84,5.863403451853785,5.863403451853785,-34.5803362,-58.4245236,False
6,181.96.113.234,17.125313309417376,22.98871676127116,-34.6075682,-58.4370894,True
7,195.22.220.56,-3.321345647176109,19.66737111409505,-34.6075682,-58.4370894,False
8,195.22.199.82,131.05942408243814,150.7267951965332,34.0536909,-118.242766,True
9,195.22.199.33,10.11045773824057,160.83725293477377,34.0536909,-118.242766,False
10,129.250.2.5,8.025949909573512,168.86320284434728,25.7741728,-80.19362,False
12,129.250.7.69,7.575069155011846,176.43827199935913,34.0536909,-118.242766,False
13,129.250.3.219,1.232302188873291,177.67057418823242,34.0536909,-118.242766,False
14,129.250.3.192,105.47157923380536,283.1421534220378,35.6938097,139.7532163,True
15,129.250.5.23,-5.28409481048584,277.85805861155194,35.6938097,139.7532163,False
16,129.250.2.51,58.473172641935776,336.3312312534877,22.292258,114.25772363733333,True
17,129.250.6.123,-1.1315731775192717,335.19965807596844,22.2656067,114.2379644,False
18,203.131.254.214,34.00996526082355,369.209623336792,22.292258,114.25772363733333,True
19,101.4.117.70,-41.66687329610187,327.5427500406901,39.9580718,116.292405,False
20,101.4.114.181,45.638124422095245,373.18087446278537,39.9580718,116.292405,True
21,101.4.114.193,-7.438012238206511,365.74286222457886,39.9580718,116.292405,False
22,101.4.117.81,-0.061420599619566474,365.6814416249593,39.9580718,116.292405,False
23,101.4.116.94,0.5667448043823242,366.2481864293416,39.9580718,116.292405,False
24,101.4.117.134,8.728575706481934,374.97676213582355,39.9580718,116.292405,False
