ttl,ip,rttHop,rttTot,lat,lon,outlier
1,157.92.6.19,68.7952200571696,68.7952200571696,0,0,True
2,10.5.47.98,7.263064384460449,76.05828444163005,0,0,False
3,10.3.7.97,-0.3313779830932617,75.72690645853679,0,0,False
4,10.2.186.117,-11.441977818806976,64.28492863972981,0,0,False
5,170.51.254.174,6.268397967020675,70.55332660675049,0,0,False
6,168.143.228.100,193.5728867848714,264.1262133916219,0,0,True
7,129.250.2.5,-23.979326089223207,240.14688730239868,0,0,False
8,129.250.2.219,52.888710334383234,293.0355976367819,0,0,True
9,129.250.7.69,11.907773182309882,304.9433708190918,0,0,False
10,129.250.3.219,121.68460573468889,426.6279765537807,0,0,True
11,129.250.3.192,-16.040586289905377,410.5873902638753,0,0,False
12,129.250.5.23,8.071263631184934,418.6586538950602,0,0,False
13,129.250.2.51,27.56982048352557,446.2284743785858,0,0,False
14,129.250.6.123,9.142222007115665,455.3706963857015,0,0,False
15,203.131.254.214,2.6801665623983126,458.0508629480998,0,0,False
16,101.4.117.70,29.970296223958314,488.0211591720581,0,0,False
17,101.4.114.181,27.073804537455203,515.0949637095133,0,0,False
18,101.4.114.193,21.80040677388513,536.8953704833984,0,0,False
19,101.4.117.81,-55.81864488535916,481.0767255980393,0,0,False
20,101.4.116.94,18.843231530025093,499.9199571280644,0,0,False
21,101.4.117.134,4.221944092529782,504.14190122059415,0,0,False
22,202.112.41.181,5.75501020318768,509.8969114237818,0,0,False
23,202.112.41.2,7.986617410022063,517.8835288338039,0,0,False
24,162.105.252.234,-17.804771229840696,500.0787576039632,0,0,False
