ttl,ip,rttHop,rttTot,lat,lon,outlier
1,157.92.6.19,63.08327515920004,63.08327515920004,0,0,True
2,10.5.47.98,10.082952181498207,73.16622734069824,0,0,False
3,10.3.7.97,-8.187079429626465,64.97914791107178,0,0,False
4,10.2.186.121,6.056388219197586,71.03553613026936,0,0,False
5,170.51.254.174,39.57780202229819,110.61333815256756,0,0,True
6,168.143.228.100,138.1088415781657,248.72217973073325,0,0,True
7,128.241.14.162,-26.40682061513266,222.3153591156006,0,0,False
8,150.222.224.161,34.089221625492485,256.40458074109307,0,0,True
9,52.93.236.61,-14.657394443630976,241.7471862974621,0,0,False
14,13.226.52.21,16.563812891642243,258.31099918910434,0,0,False
15,13.226.52.21,-6.124889909340226,252.1861092797641,0,0,False
16,13.226.52.129,14.097506150431997,266.2836154301961,0,0,False
17,13.226.52.21,-17.176188819709836,249.10742661048627,0,0,False
18,13.226.52.119,7.384504669014035,256.4919312795003,0,0,False
19,13.226.52.119,0.4385312398275118,256.9304625193278,0,0,False
20,13.226.52.21,-1.441494623820006,255.4889678955078,0,0,False
21,13.226.52.119,3.985142707824707,259.4741106033325,0,0,False
22,13.226.52.9,-4.656815528869629,254.8172950744629,0,0,False
23,13.226.52.119,-3.56282393137613,251.2544711430868,0,0,False
24,13.226.52.9,-1.8937428792317803,249.36072826385495,0,0,False
